"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","PA","N5","S","R","I","FS","T","LAeq","LA10_LA90","LC_LA"
"MC519","MarchmontGarden","1",0.140012577594934,0.00400546536922239,NA,NA,NA,13.8695742762465,13.7,1.75,0.0234,0.39,0.00534,0.267,55.56,10.1,15.33
"MC520","MarchmontGarden","1",0.267100029017152,0.0391122298429852,NA,NA,NA,9.38401293274616,9.23,1.28,0.0256,0.399,0.00815,0.202,54.48,6.09,10.02
"MC521","MarchmontGarden","1",0.301909680944582,-0.0803972181475267,NA,NA,NA,9.60189943279661,9.46,1.39,0.0245,0.363,0.00551,0.0636,50.43,6.08,13.13
"MC522","MarchmontGarden","1",0.317861931406308,-0.0818843380965685,NA,NA,NA,9.08154843853303,8.94,1.43,0.0258,0.34,0.00491,0.0916,50.38,5.38,12.62
"MC523","MarchmontGarden","1",0.381190007624381,-0.119999930346969,NA,NA,NA,6.0908508604787,5.99,1.21,0.0241,0.325,0.00336,0.0561,47.04,1.8,15.93
"MC524","MarchmontGarden","1",0.379275822785723,-0.0583748469651026,NA,NA,NA,7.40737014460032,7.29,1.31,0.0251,0.321,0.00322,0.102,50.43,1.12,12.54
"MC525","MarchmontGarden","1",0.384110117628243,-0.0900180625658217,NA,NA,NA,6.97117227779845,6.86,1.37,0.0241,0.403,0.004,0.159,48.89,1.65,13.51
"MC526","MarchmontGarden","1",0.326677291271777,-0.0757864234147071,NA,NA,NA,7.90280875041919,7.77,1.39,0.0236,0.346,0.00911,0.13,50.33,6.93,9.42
"MC527","MarchmontGarden","1",0.36661429051819,-0.108839786873276,NA,NA,NA,6.54365118262288,6.44,1.3,0.0229,0.366,0.00453,0.0652,48.27,4.84,11.41
"MC528","MarchmontGarden","1",0.203732527036764,-0.0140195162806795,NA,NA,NA,13.3798168731271,13.2,1.5,0.0257,0.327,0.0053,0.13,53.95,12.04,9.55
"MC529","MarchmontGarden","1",0.353595641706472,-0.0952385675226376,NA,NA,NA,7.26431023362406,7.14,1.44,0.0243,0.389,0.00738,0.209,48.96,4.41,12.34
"MC530","MarchmontGarden","1",0.189557813460429,-0.065549532718432,NA,NA,NA,9.60147153467822,9.44,1.38,0.0249,0.363,0.0108,0.177,50.47,7.99,19.89
"MC531","MarchmontGarden","1",0.369640661346541,-0.0916724232216199,NA,NA,NA,7.92437790030116,7.78,1.48,0.0253,0.372,0.0104,0.155,50.1,2.72000000000001,11.86
"MC532","MarchmontGarden","1",0.316261301326832,-0.0862392933342681,NA,NA,NA,8.3713595772193,8.24,1.33,0.0248,0.335,0.0053,0.0794,49.54,4.89,14.38
"MC533","MarchmontGarden","1",0.232838285113872,-0.0281669581794001,NA,NA,NA,10.1719431239335,10,1.35,0.0267,0.4,0.00948,0.186,51.92,3.41,20.55
"MC534","MarchmontGarden","1",0.268956482900757,-0.000293213950714716,NA,NA,NA,9.99884326735593,9.83,1.37,0.0279,0.335,0.00729,0.235,52.88,3.32,16.18
"MC535","MarchmontGarden","1",0.331871163613663,-0.118227673924166,NA,NA,NA,8.99081156899391,8.86,1.49,0.0232,0.34,0.00572,0.11,48.94,3.08,16.63
"MC536","MarchmontGarden","1",0.340199078068584,-0.095330959720558,NA,NA,NA,7.98657894501519,7.86,1.43,0.0252,0.318,0.00433,0.0622,49.93,3.93,12.96
"MC537","MarchmontGarden","1",0.359084620348961,-0.217150828628519,NA,NA,NA,8.89178787206515,7.81,2.19,0.0228,0.314,0.00784,0.139,49.25,1.38,16.16
"MC538","MarchmontGarden","1",0.355271143889903,-0.154473142991362,NA,NA,NA,7.67523629021092,7.53,1.74,0.0236,0.458,0.0142,0.118,49.54,4.48,11.41
"MC539","MarchmontGarden","1",0.335076256806797,-0.0726142160804863,NA,NA,NA,9.33018104430581,9.18,1.47,0.024,0.397,0.00954,0.0737,51.6,6.14,8.46
"MC540","MarchmontGarden","1",0.272420744341858,-0.0512934016039989,NA,NA,NA,10.3963759937948,10.2,1.53,0.0268,0.405,0.0157,0.121,53.11,9.66999999999999,7.12
"MC541","MarchmontGarden","1",0.184336253372795,0.0198700248724887,NA,NA,NA,18.1456788268483,17.5,1.84,0.0302,0.508,0.0184,0.15,58.89,12.31,5.36
"MG201","MonumentoGaribaldi","1",0.162226057350779,0.281440524577048,NA,NA,NA,25.5547509215931,24.8,1.82,0.0352,0.27,0.00555,0.428,65.34,7.78,9.89
"MG202","MonumentoGaribaldi","1",0.165405909530302,0.262889013372271,NA,NA,NA,25.918123413547,24.7,1.87,0.0407,0.339,0.0102,0.323,66.01,7.12,8.89
"MG203","MonumentoGaribaldi","1",0.169788225660402,0.268644950457098,NA,NA,NA,28.0199511178239,25.4,2.01,0.0558,0.358,0.01,0.338,67.21,3.5,8.13000000000001
"MG204","MonumentoGaribaldi","1",0.169040979425216,0.305399879304698,NA,NA,NA,28.5828694850409,26.2,1.97,0.0829,0.412,0.00425,0.307,68.6,2.22999999999999,6.62
"MG205","MonumentoGaribaldi","1",0.178587076139733,0.334179744069076,NA,NA,NA,23.2234763114705,22.1,1.74,0.132,0.403,0.0031,0.38,67.58,1.98999999999999,6.89
"MG206","MonumentoGaribaldi","1",0.179727829851058,0.338734553722394,NA,NA,NA,22.2318799659455,21.2,1.67,0.124,0.393,0.00337,0.405,67.08,1.97,7.44
"MG207","MonumentoGaribaldi","1",0.186022689468405,0.34350769100928,NA,NA,NA,22.3876128139506,21.2,1.66,0.143,0.413,0.00345,0.429,67.04,1.98999999999999,6.97999999999999
"MG208","MonumentoGaribaldi","1",0.185848587064896,0.326731145369645,NA,NA,NA,22.5913368128971,21.5,1.7,0.13,0.418,0.0036,0.384,66.91,1.94,7.22
"MG209","MonumentoGaribaldi","1",0.0803431676969691,0.292189726417877,NA,NA,NA,53.3694075939709,38.9,2.63,0.0465,0.283,0.00631,0.373,72.51,3.03,10.38
"MG210","MonumentoGaribaldi","1",0.117163374926091,0.132890878589254,NA,NA,NA,139.066376598455,62.9,4.35,0.062,0.415,0.0174,0.224,79.67,7.03,3.55
"MG211","MonumentoGaribaldi","1",0.0882608428231295,0.33608654907057,NA,NA,NA,44.4074257754591,35.1,2.39,0.0471,0.254,0.00687,0.526,71.59,2.23999999999999,10.48
"MG212","MonumentoGaribaldi","1",0.0809261290125473,0.357981665642276,NA,NA,NA,41.7390909003098,34.7,2.24,0.0497,0.271,0.00483,0.547,71.22,2.94,11.16
"MG213","MonumentoGaribaldi","1",0.118889075958562,0.143904654208102,NA,NA,NA,93.2955282891431,48.3,3.86,0.0622,0.452,0.00959,0.224,75.99,5.04000000000001,5.15000000000001
"MG214","MonumentoGaribaldi","1",0.126167814286895,0.187610373537719,NA,NA,NA,60.379020749454,38.1,3.14,0.0456,0.36,0.0079,0.265,72.24,2.40000000000001,7.80000000000001
"MG215","MonumentoGaribaldi","1",0.161949060204974,0.266797590542255,NA,NA,NA,25.4642026620975,24.5,1.84,0.0418,0.364,0.0146,0.563,64.22,7.73,11.56
"MG216","MonumentoGaribaldi","1",0.118818644947996,0.316514897202922,NA,NA,NA,30.3618489701354,27.5,2.01,0.0501,0.298,0.00702,0.516,67.85,3.17999999999999,11.78
"MG217","MonumentoGaribaldi","1",0.133724390837309,0.287912409182664,NA,NA,NA,29.6830486895569,26.9,2.01,0.0473,0.288,0.00667,0.415,67.28,2.26000000000001,11.6
"MG218","MonumentoGaribaldi","1",0.130290168179643,0.30879690941694,NA,NA,NA,30.5845623018005,27.9,1.99,0.0431,0.266,0.0089,0.486,67.7,2.53,11.27
"MG219","MonumentoGaribaldi","1",0.0713296467399554,0.361361697799322,NA,NA,NA,42.0313561491076,35.4,2.2,0.0524,0.276,0.00937,0.522,71.6,3.17,11.36
"MG220","MonumentoGaribaldi","1",0.077673784456883,0.361363081617244,NA,NA,NA,37.771267024577,32.9,2.11,0.0525,0.257,0.00637,0.556,70.43,3.8,11.94
"MG301","MonumentoGaribaldi","1",0.23366938020886,0.115127653716635,NA,NA,NA,19.1861256363873,17.8,1.94,0.0289,0.673,0.0904,0.418,63.79,19.56,1.79
"MG302","MonumentoGaribaldi","1",0.443293763357133,-0.0261044086600544,NA,NA,NA,8.82984495543683,8.64,1.72,0.0242,0.522,0.0234,0.152,52.98,11.78,1.61000000000001
"MG303","MonumentoGaribaldi","1",0.528866232511655,-0.129753806341806,NA,NA,NA,6.74643954568194,6.62,1.75,0.0213,0.489,0.0147,0.185,47.24,7.33000000000001,4.09
"MG304","MonumentoGaribaldi","1",0.536815887715718,-0.112038711800453,NA,NA,NA,5.77101161186543,5.65,1.42,0.0246,0.428,0.0122,0.0998,46.18,5.39,5.51
"MG305","MonumentoGaribaldi","1",0.521485775419659,-0.128773250931484,NA,NA,NA,6.40865067910495,6.27,1.67,0.0225,0.455,0.0191,0.153,47.25,6.62,4.89
"MG306","MonumentoGaribaldi","1",0.533283980065546,-0.111367757232294,NA,NA,NA,5.72392258412195,5.6,1.57,0.0241,0.457,0.0144,0.188,46.74,6.45,4.64
"MG307","MonumentoGaribaldi","1",0.47500192484704,-0.11633602858981,NA,NA,NA,6.42773304823994,6.29,1.64,0.0236,0.447,0.017,0.224,46.89,8.01,8.86
"MG308","MonumentoGaribaldi","1",0.466302540980841,-0.0616480876490923,NA,NA,NA,7.07197522124851,6.92,1.54,0.0248,0.435,0.0174,0.248,48.65,7.21,7.33
"MG309","MonumentoGaribaldi","1",0.504092684516223,-0.0861161723498342,NA,NA,NA,6.20825903713317,6.08,1.49,0.0226,0.37,0.0159,0.168,47.65,5.63,6.06
