"GroupID","LocationID","Lockdown","ISOPleasant","ISOEventful","Human","Traffic","Natural","N5","S","R","I","FS","LAeq","LA10_LA90","LCeq_LAeq","SIL3"
"MC527","MarchmontGarden","1",0.273094603469979,-0.164773543532622,3.23430378227776,2.76336837885093,3.15979715374861,6.44,1.3,0.0229,0.366,0.00453,48.27,4.84,11.41,35.44
"MC528","MarchmontGarden","1",0.103437832192363,-0.0319632638109205,2.84517279463291,2.48434445356528,2.79565066824673,13.2,1.5,0.0257,0.327,0.0053,53.95,12.04,9.55,42.87
"MC529","MarchmontGarden","1",0.288613729378358,-0.149172080109597,3.10757539844701,2.7423331908105,3.07387679858316,7.14,1.44,0.0243,0.389,0.00738,48.96,4.41,12.34,37.39
"MC530","MarchmontGarden","1",0.205562927494295,-0.0885406329520979,3.04065615966599,2.06228805370639,2.5950432443498,9.44,1.38,0.0249,0.363,0.0108,50.47,7.99,19.89,39.26
"MC531","MarchmontGarden","1",0.325648963057836,-0.0897343257249938,2.97266674820155,2.82319811865974,2.90550699380129,7.78,1.48,0.0253,0.372,0.0104,50.1,2.72000000000001,11.86,40.15
"MC532","MarchmontGarden","1",0.274948404907674,-0.107755811926785,3.10937527737252,2.54186317177581,2.86470667857386,8.24,1.33,0.0248,0.335,0.0053,49.54,4.89,14.38,38.04
"MC533","MarchmontGarden","1",0.307073894867468,-0.0846863358540109,3.05133014775251,2.15921423220338,2.55181405929692,10,1.35,0.0267,0.4,0.00948,51.92,3.41,20.55,39.21
"MC534","MarchmontGarden","1",0.321087189563259,-0.0614973630098602,2.9928369612038,2.40854279182223,2.64121921311736,9.83,1.37,0.0279,0.335,0.00729,52.88,3.32,16.18,40.39
"MC535","MarchmontGarden","1",0.290896928283729,-0.150245744526343,3.07335666425044,2.55969404512489,2.91111025418129,8.86,1.49,0.0232,0.34,0.00572,48.94,3.08,16.63,37.84
"MC536","MarchmontGarden","1",0.300413858289061,-0.101436457639205,3.02615193033226,2.69152606468773,2.89578516249422,7.86,1.43,0.0252,0.318,0.00433,49.93,3.93,12.96,39.27
"MC537","MarchmontGarden","1",0.328952353415189,-0.233364833555162,2.72691923639391,2.88768677645106,3.17879518458864,7.81,2.19,0.0228,0.314,0.00784,49.25,1.38,16.16,41.18
"MC538","MarchmontGarden","1",0.277768346849025,-0.157759598321661,2.91301635955641,2.88847608936328,3.13599183133499,7.53,1.74,0.0236,0.458,0.0142,49.54,4.48,11.41,39.85
"MC539","MarchmontGarden","1",0.235692434369173,-0.0845508206156106,2.96696490103724,2.86205673067101,3.01336808567631,9.18,1.47,0.024,0.397,0.00954,51.6,6.14,8.46,40.34
"MC540","MarchmontGarden","1",0.183833786469814,-0.0808075649031265,2.91783739528474,2.75549960643599,3.05208592982789,10.2,1.53,0.0268,0.405,0.0157,53.11,9.66999999999999,7.12,41.06
"MC541","MarchmontGarden","1",0.104566134213968,-0.0325463081218965,2.60218009273612,2.69395460002301,2.94670371145232,17.5,1.84,0.0302,0.508,0.0184,58.89,12.31,5.36,46.16
"MG201","MonumentoGaribaldi","1",0.261791265351988,0.244725907060149,3.20786129107315,1.75997589326722,2.0079690653985,24.8,1.82,0.0352,0.27,0.00555,65.34,7.78,9.89,54.43
"MG202","MonumentoGaribaldi","1",0.273252522200296,0.24829492353994,3.20378164506345,1.80489691388356,2.02924735621085,24.7,1.87,0.0407,0.339,0.0102,66.01,7.12,8.89,55.07
